id;name;description;price;product_size;image;product_category_id
1;Roe - Flying Fish;Bypass Right Common Iliac Artery to Lower Extremity Artery with Synthetic Substitute, Open Approach;23;L;http://dummyimage.com/210x100.png/dddddd/000000;10
2;Creme De Cacao Mcguines;Dilation of Pulmonary Trunk with Intraluminal Device, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/125x100.png/cc0000/ffffff;4
3;Lemon Balm - Fresh;Reposition Left Pelvic Bone, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/249x100.png/cc0000/ffffff;10
4;Apple - Custard;Division of Left Trunk Muscle, Open Approach;23;M;http://dummyimage.com/227x100.png/cc0000/ffffff;10
5;Tomatoes - Diced, Canned;Repair Lower Jaw, Percutaneous Approach;23;S;http://dummyimage.com/130x100.png/dddddd/000000;7
6;Soup Campbells - Tomato Bisque;Introduction of Liquid Brachytherapy Radioisotope into Upper GI, Via Natural or Artificial Opening;23;XL;http://dummyimage.com/237x100.png/ff4444/ffffff;2
7;Cheese - Asiago;Supplement Ileum with Autologous Tissue Substitute, Via Natural or Artificial Opening;23;L;http://dummyimage.com/143x100.png/dddddd/000000;4
8;Hand Towel;Revision of Internal Fixation Device in Right Metatarsal-Tarsal Joint, External Approach;23;XL;http://dummyimage.com/197x100.png/dddddd/000000;6
9;Ham - Black Forest;Supplement Left Ulnar Artery with Autologous Tissue Substitute, Percutaneous Approach;23;XL;http://dummyimage.com/136x100.png/cc0000/ffffff;3
10;Red Snapper - Fillet, Skin On;Excision of Scalp Subcutaneous Tissue and Fascia, Open Approach, Diagnostic;23;M;http://dummyimage.com/131x100.png/ff4444/ffffff;6
11;Mace;Dilation of Right Femoral Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach;23;M;http://dummyimage.com/169x100.png/dddddd/000000;3
12;Smirnoff Green Apple Twist;Tomographic (Tomo) Nuclear Medicine Imaging of Chest using Fluorine 18 (F-18);23;L;http://dummyimage.com/244x100.png/5fa2dd/ffffff;6
13;Chip - Potato Dill Pickle;Bypass Ascending Colon to Cutaneous with Synthetic Substitute, Percutaneous Approach;23;S;http://dummyimage.com/205x100.png/cc0000/ffffff;2
14;Coffee Cup 12oz 5342cd;Revision of Nonautologous Tissue Substitute in Ureter, Percutaneous Approach;23;L;http://dummyimage.com/216x100.png/cc0000/ffffff;3
15;Pear - Prickly;Resection of Left Tarsal Joint, Open Approach;23;M;http://dummyimage.com/115x100.png/cc0000/ffffff;9
16;Bread - Malt;Excision of Left Ureter, Percutaneous Approach;23;L;http://dummyimage.com/120x100.png/dddddd/000000;8
17;Tomato Paste;Drainage of Right Seminal Vesicle, Percutaneous Approach;23;XL;http://dummyimage.com/217x100.png/5fa2dd/ffffff;4
18;Cocoa Powder - Dutched;Excision of Left Vertebral Artery, Percutaneous Approach, Diagnostic;23;XL;http://dummyimage.com/244x100.png/ff4444/ffffff;3
19;Plate Foam Laminated 9in Blk;Removal of Infusion Device from Testis, Percutaneous Endoscopic Approach;23;S;http://dummyimage.com/173x100.png/5fa2dd/ffffff;10
20;Liqueur Banana, Ramazzotti;Transfer Radial Nerve to Ulnar Nerve, Open Approach;23;L;http://dummyimage.com/240x100.png/dddddd/000000;9
21;Soup Campbells - Tomato Bisque;Removal of Radioactive Element from Prostate and Seminal Vesicles, Percutaneous Endoscopic Approach;23;L;http://dummyimage.com/102x100.png/ff4444/ffffff;7
22;Ecolab - Hobart Washarm End Cap;Nonimaging Nuclear Medicine Probe of Pelvic Region using Technetium 99m (Tc-99m);23;M;http://dummyimage.com/113x100.png/ff4444/ffffff;5
23;Cinnamon - Ground;Occlusion of Innominate Artery with Extraluminal Device, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/176x100.png/5fa2dd/ffffff;3
24;Nori Sea Weed - Gold Label;Bypass Lower Esophagus to Stomach with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;23;XL;http://dummyimage.com/191x100.png/cc0000/ffffff;5
25;Beans - Kidney White;Restriction of Right Axillary Lymphatic with Extraluminal Device, Percutaneous Approach;23;L;http://dummyimage.com/152x100.png/dddddd/000000;7
26;Mangoes;Fusion of Left Hip Joint with Internal Fixation Device, Percutaneous Approach;23;XL;http://dummyimage.com/136x100.png/cc0000/ffffff;10
27;Water - Mineral, Carbonated;Supplement Ampulla of Vater with Synthetic Substitute, Percutaneous Approach;23;M;http://dummyimage.com/230x100.png/cc0000/ffffff;5
28;Napkin - Beverage 1 Ply;Inspection of Cervical Vertebral Joint, Open Approach;23;XL;http://dummyimage.com/149x100.png/ff4444/ffffff;1
29;Longos - Lasagna Beef;Removal of Drainage Device from Lumbosacral Disc, Open Approach;23;L;http://dummyimage.com/108x100.png/cc0000/ffffff;1
30;Dried Cranberries;Supplement Left Diaphragm with Synthetic Substitute, Percutaneous Endoscopic Approach;23;S;http://dummyimage.com/106x100.png/cc0000/ffffff;4
31;Rice - Aborio;Excision of Left Ear Skin, External Approach;23;XXL;http://dummyimage.com/179x100.png/ff4444/ffffff;9
32;Shrimp - 31/40;Dilation of Middle Colic Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach;23;S;http://dummyimage.com/125x100.png/cc0000/ffffff;3
33;Smirnoff Green Apple Twist;Reposition Right Tarsal with External Fixation Device, Percutaneous Endoscopic Approach;23;M;http://dummyimage.com/247x100.png/ff4444/ffffff;3
34;Cookies - Amaretto;Extirpation of Matter from Right External Carotid Artery, Percutaneous Approach;23;S;http://dummyimage.com/177x100.png/ff4444/ffffff;4
35;Bread - Pumpernickel;Drainage of Right Epididymis with Drainage Device, Open Approach;23;XXL;http://dummyimage.com/174x100.png/cc0000/ffffff;2
36;External Supplier;Repair Left Tympanic Membrane, Open Approach;23;L;http://dummyimage.com/132x100.png/5fa2dd/ffffff;2
37;Bacardi Breezer - Tropical;Removal of Infusion Device from Right Carpal Joint, Open Approach;23;XL;http://dummyimage.com/147x100.png/5fa2dd/ffffff;4
38;Pepper - Chili Powder;Reattachment of Head Muscle, Open Approach;23;XL;http://dummyimage.com/158x100.png/cc0000/ffffff;1
