id;quantity;total_price;product_id;cart_id
1;6498.85;6.74;10465;9619
2;10999.01;9.64;14841;9060
3;2810.44;2.25;11646;1802
4;7826.87;3.86;4624;3650
5;3097.68;2.51;4534;4013
6;857.74;2.95;13998;1837
7;5568.06;5.04;17267;3625
8;9258.3;6.78;5522;5005
9;5914.94;5.25;10936;10630
10;11569.68;1.62;16775;1851
11;2994.84;5.59;5022;2192
12;10922.86;4.73;3196;5505
13;363.93;3.87;18460;10794
14;6279.33;8.24;10479;439
15;11465.91;8.54;13765;6008
16;2657.71;7.61;4968;11530
17;10569.36;5.47;2561;3444
18;6363.88;1.49;9010;3
19;7657.06;8.98;16600;1482
20;1535.07;9.16;15536;5483
21;9762.92;6.59;607;4154
22;128.71;4.95;52;5536
23;2955.54;1.42;11061;1751
24;9571.19;7.36;14110;7773
25;2258.33;6.46;6567;5875
26;3009.31;8.58;11325;7474
27;778.19;4.27;5902;7468
28;1617.0;8.24;6704;1798
29;2000.58;6.15;15936;11113
30;3007.84;3.54;5273;9986
31;6617.34;6.86;15394;2755
32;9179.25;3.36;2296;8707
33;3228.03;9.36;13142;7894
34;4659.74;3.89;155;10005
35;7206.79;8.52;16335;4277
36;9009.68;1.62;1756;1397
37;6854.95;4.42;58;6465
38;7618.53;6.08;6182;10945
39;6649.53;4.97;18501;8764
40;2917.49;6.91;11550;3321
41;11238.19;1.69;13618;8861
42;4333.18;9.39;9578;9800
43;3375.42;4.63;7216;9789
44;6211.93;5.45;17603;1097
45;5199.15;8.96;19662;8948
46;6270.97;5.36;8308;9066
47;4150.76;5.30;11545;8863
48;3669.12;2.97;4217;191
49;4163.3;4.47;11440;2309
50;2240.14;8.10;4047;3704
51;3400.5;6.93;19672;10744
52;7534.11;7.47;6813;10595
53;65.65;6.67;18859;142
54;8953.27;7.25;15924;8983
55;230.18;2.80;6791;9210
56;6107.05;5.56;9298;488
57;9992.01;4.40;14411;10402
58;4182.99;3.22;18632;9015
59;8833.36;7.51;15085;2832
60;6559.52;3.05;19682;789
61;9013.33;3.73;3385;1450
62;8593.33;3.00;16401;11876
63;868.51;6.17;10944;5958
64;1626.61;4.52;18011;47
65;323.47;1.44;13943;3737
66;2695.07;4.65;4035;9090
67;4556.69;7.61;8643;424
68;10329.54;5.56;1890;8111
69;9015.07;6.29;2146;1402
70;11091.75;7.71;18032;387
71;10436.02;1.66;12815;8426
72;3426.98;8.70;15827;3468
73;146.41;4.27;6702;11938
74;11736.96;2.49;1904;5316
75;2582.66;6.17;5540;6704
76;3654.22;1.18;9758;11689
77;6859.22;8.27;11182;5433
78;466.36;8.51;1888;9593
79;4774.33;1.21;1159;9668
80;6699.82;9.79;8748;167
81;11926.06;5.85;1994;7557
82;33.54;1.13;12453;6699
83;4566.06;2.58;18145;4665
84;9071.31;7.93;18131;2968
85;10793.72;1.13;17608;3163
86;1781.66;3.51;10451;11230
87;9591.46;5.29;4536;10308
88;7019.59;4.12;6437;11184
89;2859.35;8.59;10056;10235
90;398.09;7.72;18943;9279
91;6982.35;0.31;1600;11194
92;5870.39;5.53;9295;4545
93;8545.51;2.61;17328;7623
94;6613.93;5.09;10154;2582
95;1870.06;6.50;11538;3884
96;11610.48;0.66;8381;1228
97;4690.81;9.96;6363;11726
98;2192.48;7.84;18582;4323
99;11142.69;4.73;2418;8019
100;713.28;8.97;9744;8596
101;4993.55;8.58;10045;7763
102;6177.3;9.38;9162;5023
103;5037.41;5.49;2805;10165
104;2345.53;2.34;3734;5688
105;2840.88;9.98;17160;8665
106;7776.41;6.98;9164;1177
107;7633.99;0.90;19908;7452
108;5976.77;8.15;8063;1312
109;6806.82;3.27;17775;3350
110;10212.07;9.77;11618;3539
111;6762.31;7.83;17542;2349
112;9114.08;7.32;15411;6411
113;2161.78;4.26;11983;2749
114;2383.87;4.49;5793;2383
115;7236.09;2.67;17380;10184
116;1032.86;6.67;18909;4801
117;7773.72;2.56;5046;5963
118;1173.12;3.95;882;501
119;5836.85;7.17;8606;4413
120;6355.24;2.16;8365;388
121;453.03;8.99;10459;11473
122;7025.66;7.19;15711;1871
123;7464.46;5.71;19868;269
124;2897.14;5.17;972;7739
125;8242.18;4.20;11067;10622
126;7311.85;5.65;18781;5508
127;11269.74;3.53;12756;4693
128;4840.83;7.29;4170;3975
129;2111.45;9.35;976;4294
130;5788.31;4.86;1522;11179
131;11988.86;1.29;3143;7236
132;8159.58;0.77;18253;6743
133;10151.83;9.69;8311;7691
134;790.54;4.18;18520;11995
135;533.84;3.46;4880;10546
136;6522.88;7.91;2924;8864
137;6746.06;3.01;12568;8816
138;3604.63;5.82;3956;5346
139;5582.0;4.07;8192;4744
140;2156.93;0.62;10881;6805
141;6414.03;5.56;13224;8931
142;5045.0;7.14;17034;306
143;7419.96;0.45;3690;9133
144;1248.82;6.75;9310;860
145;7654.44;7.47;1477;10563
146;815.16;8.50;3875;3971
147;9733.46;3.44;18035;1125
148;3038.34;1.47;16270;9937
149;881.24;8.89;9224;9731
150;7694.3;5.90;2527;3138
151;10471.06;5.53;14487;5003
152;4001.17;8.76;10316;1381
153;419.1;6.17;19480;10151
154;3190.17;3.25;5734;1040
155;9998.68;4.99;13195;10623
156;3009.57;1.75;18587;9688
157;8306.75;8.69;7553;9392
158;4095.31;5.13;7698;366
159;4532.05;7.03;12561;414
160;10514.05;6.47;18544;5521
161;9968.08;1.23;13401;7283
162;656.33;7.43;1583;2442
163;4362.54;8.53;16564;5458
164;2878.75;5.77;7162;10485
165;8973.78;1.91;2975;4590
166;10083.35;0.77;18392;5277
167;3265.34;8.37;16220;10126
168;1256.12;6.00;7082;1361
169;9831.19;2.98;15720;4609
170;7223.95;2.71;15991;4848
171;702.91;3.93;13077;7289
172;4209.65;8.48;2847;8232
173;7532.64;9.64;16483;1426
174;5515.56;4.44;19866;6768
175;3386.25;4.65;15502;2907
176;10230.64;6.90;19598;4057
177;4166.7;4.96;15601;449
178;2198.06;8.66;6399;5777
179;1677.24;4.72;8664;4089
180;7579.48;7.59;1074;10722
181;4839.77;0.42;2876;4971
182;11832.49;2.77;18093;4196
183;5992.05;7.59;11868;11375
184;966.16;3.53;5658;10386
185;8918.7;2.26;8311;7059
186;5708.32;8.87;10138;6444
187;6855.6;4.60;19329;1946
188;7402.37;6.21;4768;3449
189;3121.95;5.76;18238;2730
190;3686.43;7.22;15543;3348
191;3673.51;1.43;18627;9819
192;74.59;4.43;7381;6492
193;2814.03;3.15;15560;7991
194;2626.94;2.15;16617;8793
195;11001.04;0.80;12235;1194
196;2952.04;7.64;10313;10967
197;4654.8;6.88;5130;2229
198;11035.67;2.03;18113;5921
199;9913.89;9.86;16206;6500
200;2525.95;6.32;953;4525
201;7583.48;8.60;11529;9726
202;51.99;0.19;19936;7488
203;11924.74;7.17;11321;2168
204;11222.87;5.17;18381;1271
205;990.3;5.52;9781;8213
206;107.62;1.41;8545;6997
207;7959.26;6.04;16413;11599
208;2125.57;4.09;6774;689
209;5946.5;7.35;19100;3875
210;3776.33;2.10;1809;856
211;7238.9;9.38;2516;4138
212;870.01;5.47;1495;10487
213;2404.72;2.86;1629;1929
214;24.18;5.98;4358;1445
215;9939.88;3.18;11913;4324
216;6721.14;1.77;8782;6436
217;8667.94;4.55;18839;266
218;9733.75;5.65;3606;11719
219;2610.43;0.01;32;10290
220;8278.76;3.33;12163;5158
221;5792.01;4.40;17586;6720
222;8127.14;4.57;4401;4136
223;3585.94;8.28;19017;10581
