id;status;total_price;payment_method;payment_reference;customer_details_id
1;PAID;1.80;CREDIT_CARD;solo;562
2;REFUNDED;3.77;CREDIT_CARD;jcb;924
3;PAID;3.42;CREDIT_CARD;jcb;370
4;PAID;9.48;CREDIT_CARD;visa;937
5;CANCELLED;8.34;IDEAL;switch;350
6;REFUNDED;1.82;IDEAL;jcb;445
7;CANCELLED;3.76;CREDIT_CARD;jcb;442
8;PAID;1.98;CREDIT_CARD;mastercard;603
9;PAID;5.40;IDEAL;china-unionpay;245
10;PAID;5.62;CREDIT_CARD;americanexpress;699
11;CANCELLED;7.94;IDEAL;diners-club-carte-blanche;883
12;PAID;4.01;CREDIT_CARD;diners-club-enroute;12
13;REFUNDED;3.45;CREDIT_CARD;jcb;38
14;CANCELLED;4.12;CREDIT_CARD;jcb;118
15;COMPLETED;5.74;CREDIT_CARD;visa-electron;417
16;PENDING;1.53;IDEAL;jcb;440
17;PENDING;6.69;CREDIT_CARD;maestro;462
18;PENDING;4.00;CREDIT_CARD;jcb;723
19;CANCELLED;3.55;IDEAL;diners-club-enroute;543
20;PENDING;0.72;CREDIT_CARD;americanexpress;319
21;CANCELLED;3.82;CREDIT_CARD;maestro;626
22;PAID;5.04;CREDIT_CARD;diners-club-us-ca;635
23;CANCELLED;1.90;IDEAL;visa-electron;622
24;PAID;4.28;IDEAL;jcb;955
25;REFUNDED;7.79;CREDIT_CARD;jcb;493
26;PAID;7.77;IDEAL;diners-club-carte-blanche;624
27;CANCELLED;2.62;IDEAL;laser;736
28;PENDING;2.47;CREDIT_CARD;laser;117
29;PAID;7.52;CREDIT_CARD;jcb;539
30;COMPLETED;5.15;CREDIT_CARD;jcb;166
31;CANCELLED;9.42;CREDIT_CARD;bankcard;311
32;REFUNDED;8.71;CREDIT_CARD;mastercard;539
33;COMPLETED;4.67;CREDIT_CARD;jcb;108
34;PAID;3.08;CREDIT_CARD;jcb;849
35;PAID;5.09;CREDIT_CARD;jcb;530
36;CANCELLED;7.23;IDEAL;jcb;402
37;REFUNDED;6.43;CREDIT_CARD;americanexpress;301
38;CANCELLED;6.41;IDEAL;diners-club-carte-blanche;571
39;PENDING;6.36;IDEAL;jcb;347
40;REFUNDED;6.89;IDEAL;jcb;73
41;PAID;6.74;CREDIT_CARD;jcb;468
42;CANCELLED;5.83;CREDIT_CARD;jcb;823
43;CANCELLED;9.43;CREDIT_CARD;laser;342
44;REFUNDED;6.42;IDEAL;mastercard;587
